Model,Dataset,Metric,Value
LGB,Internal Validation,Recall,0.649 (0.596-0.699)
LGB,Internal Validation,AUC,0.796 (0.731-0.855)
LGB,Internal Validation,Optimal_Threshold,0.469906
LGB,External Validation,Sensitivity,0.655 (0.609-0.697)
LGB,External Validation,Specificity,0.843 (0.806-0.873)
LGB,External Validation,PPV,0.367 (0.324-0.413)
LGB,External Validation,NPV,0.946 (0.921-0.963)
LGB,External Validation,Accuracy,0.820 (0.781-0.852)
LGB,External Validation,F1,0.471 (0.425-0.517)
LGB,External Validation,Precision,0.367 (0.324-0.413)
LGB,External Validation,Recall,0.655 (0.609-0.697)
LGB,External Validation,AUC,0.824 (0.768-0.879)
LGB,External Validation,Optimal_Threshold,0.469906
